t,count
1757643591.594244,16
1757643591.8374667,15
1757643592.0546389,15
1757643592.3137221,15
1757643592.6512012,15
1757643592.8701408,15
1757643593.079581,15
1757643593.3204803,15
1757643593.5275016,15
1757643593.8771284,16
1757643594.1727867,16
1757643594.3574343,14
1757643594.9546971,14
1757643595.539308,15
1757643595.897248,14
1757643596.1374109,14
1757643596.3480706,15
1757643596.6309912,15
1757643596.9157443,15
1757643597.3506525,14
1757643597.6524777,14
1757643597.9398649,13
1757643598.0994618,14
1757643598.2739956,14
1757643598.466578,14
1757643598.7718349,14
1757643598.9468758,15
1757643599.1413558,15
1757643599.3144238,15
1757643599.5035279,15
1757643599.700536,14
1757643599.8805625,14
1757643600.0815573,14
1757643600.2672231,15
1757643600.4453156,15
1757643600.6320887,15
1757643600.836018,15
1757643601.0397923,15
1757643601.266571,15
1757643601.5055342,15
1757643601.8244197,15
1757643602.1412783,15
1757643602.535199,13
1757643603.0874517,13
1757643603.770887,13
1757643604.3001769,13
1757643604.5590575,15
1757643604.893282,16
1757643605.4843304,16
1757643606.0539963,15
1757643606.7104683,15
1757643606.8895633,14
1757643607.1577482,14
1757643607.357024,14
1757643607.6120234,14
1757643607.8025136,14
1757643608.0723183,14
1757643608.2748215,14
1757643608.5630848,14
1757643608.8658755,14
1757643609.157167,14
1757643609.5353203,14
1757643609.9188952,15
1757643610.2610648,15
1757643610.6851811,15
1757643610.9753113,15
1757643611.3763149,15
1757643611.8112493,15
1757643612.2655623,15
1757643612.592242,15
1757643612.8300033,15
1757643613.3090923,15
1757643614.0552785,15
1757643614.2473855,14
1757643614.5338573,14
1757643614.7423759,13
1757643614.9922338,15
1757643615.1747649,15
1757643615.3782563,13
1757643615.5682766,14
1757643615.8410764,14
1757643616.0666997,15
1757643616.2499032,14
1757643616.441929,15
1757643616.845567,15
1757643617.1308653,14
1757643617.3942633,14
1757643617.800356,14
1757643617.986442,14
1757643618.1831198,14
1757643618.4334507,13
1757643618.7685688,13
1757643619.085764,13
1757643619.428864,13
1757643619.700688,15
1757643619.9614995,14
1757643620.1740134,13
1757643620.422774,12
1757643620.6566575,12
1757643620.8653228,12
1757643621.1094453,11
1757643621.4528148,12
1757643621.763401,12
1757643621.9658766,12
1757643622.3646593,13
1757643622.6095493,12
1757643622.9538212,13
1757643623.2003303,11
1757643623.4053082,12
1757643623.5854387,11
1757643623.8909807,10
1757643624.0916748,10
1757643624.4010725,11
1757643624.6763148,11
1757643624.933409,11
1757643625.1451294,12
1757643625.4270597,12
1757643625.6924863,12
1757643625.9918983,13
1757643626.1771255,12
1757643626.3672936,12
1757643626.5633774,12
1757643626.790384,12
1757643626.9943662,13
1757643627.2931454,14
1757643627.575756,14
1757643627.7517128,15
1757643627.9507515,15
1757643628.1194985,15
1757643628.4438443,15
1757643628.7002113,15
1757643628.9671822,14
1757643629.23765,14
1757643629.5458415,15
1757643629.796209,15
1757643629.986699,14
1757643630.1428132,14
1757643630.3871603,12
1757643630.707871,12
1757643631.005585,13
1757643631.263894,13
1757643631.470852,13
1757643631.8200114,13
1757643632.2284482,13
1757643632.7399619,13
1757643632.993322,12
1757643633.1479087,11
1757643633.3015575,12
1757643633.5424778,12
1757643633.9634595,11
1757643634.2916896,11
1757643634.4687254,11
1757643634.7456167,11
1757643635.038545,11
1757643635.3474312,12
1757643635.5922868,12
1757643635.812031,12
1757643636.0332553,12
1757643636.2763762,12
1757643636.5576425,13
1757643636.8603768,14
1757643637.0957634,14
1757643637.2943113,14
1757643637.702782,13
1757643638.6316104,13
1757643638.8300781,13
1757643639.070907,13
1757643639.3740387,14
1757643639.6208498,13
1757643639.8090165,13
1757643640.058844,14
1757643640.2820213,14
1757643640.4938731,15
1757643641.04266,15
1757643641.3842669,15
1757643641.6937628,15
1757643641.9387884,14
1757643642.1034725,14
1757643642.3651154,14
1757643642.6543603,14
1757643642.9057055,14
1757643643.0902128,14
1757643643.3496983,14
